,header,rating_up,rating_low,subject,text_post,rating_all,time_year,time_month,time_day,time_hour,time_minute
0,работая дома оставаться здоровым сойти ума,12,7,Здоровье.ру,привет всем удаленщикам остается рабочего дня доделать задачи кого ощущения бесконечной работы кого выходные пролетают было давай статье обратим немного внимания работаем домаhome offic sweet homeуверен обустроиться дома большой проблемой получилось найти сесть работать подстроить расписание дня отлично справляться задачами помимо работы дома нужно внимательно следить собой иначе выгорание скажет тебе приветв статье часто буду капитаном очевидностью очевидно одного заставить задуматься другого начнемсамое очевидное самое важное обратить вниманиевсе делаем давать положительный отрицательный эффект какоето время давай принципе парето пройдемся основного дает результата начнем работыкакие действия могут привести плохому самочувствиюработать окончания рабочего дня действие дает времени сделать работу продолжительная работа забирает сил ухудшает состояниеесли робот каждый раз делаешь каждое дополнительное время отдаешь свои силы которые нужно восстановить успеваешь восстанавливаться молодец иначе наступит спад сил мотивация работать снизитсяначать работу раньше рабочего дня времени работу забрать сил ухудшить состояниеесли общая продолжительность рабочего дня остается той просыпаешься время обычно негативного нет однако работать приходится дольше это точно приведет усталости приходится жертвовать сном вставать раньше обычно это стресс организма скорей всего взамен отплатит сонливостью ухудшением памяти концентрации общим плохим состояниемработать ночам вероятность повышенной концентрации производительности времени работу сбивается режим дня вероятность плохого состояния следующий день темноте ухудшает зрениеесли работа ночам вынужденная мера комфортным рабочим местом приятной улице прохлада актуально лета никто отвлекает ты твоя работа суперпроизводительность потраченные ресурсы придется восстанавливать обычно хорошим сном плохо выспаться сонливость пониженная концентрация плохое самочувствие машут тебе ручкой следующего днятакже негативно сказываются работа выходных перерывов стресс дистресс слишком сложная слишком скучная работаосновная мысль работа вместо отдыха это брать силы самого кредит большой процент отдыхать восстанавливаться проблем будет уходить большие долги это прямой путь потере интереса работы выгораниюкак восстановить силысамый большой эффект дает хороший сонсон максимально восстанавливает силы хороший сон улучшает твои характеристики плохой сон временем вызывает усталость дает меньше сили сильноснижает твои характеристикиэто первое нужно обратить внимание это основа здоровья спать плохо меньше нужно организму засыпать просыпаться каждый разное время это привести ощущению разбитости раздражительности тревожности ухудшению внимания снижению памяти ухудшению здоровья самоощущенияно отличная новость это временно этим легко справиться лишь нужно читать продолжение источникедля лишь нужнохорошее качество снанужная организму продолжительностьвставать ложиться примерно одно времяхороший сон восстановит сил улучшает внимание память общее самоощущение засыпать быстрее убирать ноутбук телефон пол часа сназавтрак обед ужин восполняют силы вкусно вкусно приготовлено нужно помыть посудуэто отличный способ запастись энергией питаться каждый разное время тебе нужно пищи наесться уменьшить объем тебе лишь нужно питаться каждый день примерно одно времяеще момент очевидности замени перекусы шоколадками бутербродами тому подобным фрукты яблоко банан апельсин киви угодно фруктов положи пару штук чегонибудь рабочий стол хочешь перекусить съешь их это пойдет тебе пользутакже восстанавливать силы помогают хорошие выходные твои увлечения спортосновная мысль высыпайся питайся это основные способы поддерживать тебе силы также устраивай разнообразный отдых забывай увлечения важная часть твоего хорошего самоощущениякак держать здоровымесли соблюдаешь режим работы высыпаешься питаешься забываешь увеличения давай посмотрим нанести урон твоему здоровьюработа лежа позе креветки удобно напряжение мышцаходин самых хитрых врагов удаленщика заманивает своей удобностью взамен дает напряжение спине шее часто сидеть криво работе временем шея стать вытянутой вперед плечи сутулыми осанка кривой это привести головным болям звону ушах всему прочему узнать врачачтобы избежать урона здоровью посмотри стандарты рабочего места высоте должен монитор далеко тебя должен получиться наклон головы далееили хотя проверь работаешь хорошим столом стулом мониторомесли тебе нужен повод обновить их подумай дешевле купить чтото работы тратиться лечение себянемного спорта это жизнь нужно найти время иногда деньгиэто самое очевидное весь день сидеть плохо тем увеличивается риск развития хронические проблемы здоровья могут появиться проблемы суставами спиной шеей плечами компенсировать сидение весь день нужна подвижность обязательно идти зал заниматься нравится гулять работы бегать кататься велосипеде заниматься домаглавная мысль сделать такие небольшие тренировки частью каждого днякак сойти уматут нужно объединить все моральное здоровье складывается выше чувствовать удаленке важнохорошо высыпатьсясоблюдать режим работыдавать отдохнутьдавать телу движениехорошо питатьсяпосвящать время увлечениямвсе действия отдельности сложны начать улучшения какогонибудь одного порядке переключиться следующее никто заставляет спешить ставить дедлайны нужно делать своем темпе удобно налаженных действий станет много соберутся супермегазорда хорошего самочувствияэто часть того сделать рассказать комфортно чувствовать самой работе рассказать подробнее чемто статьи том затронул вообще все хочешь дай знать,19.0,2021,8,24,13,10
1,ручках itника замолвите слово,78,26,Здоровье.ру,когдато мониторы большими жидкокристаллическими говоря вреде работы компьютером упоминали риски зрения действительно ощущение насыпанного глаза песка знакомо тем смотрел стеклянные экраны этих монстроподобных чудовищ мониторы стали меньше глаза стали уставать гораздо меньше лично перестали годы проведенные мышью руке стали давать знать совершенно подругому на хабре подымалась тема туннельнокарпального синдрома однако решила снова вернуться ней очень надеюсь достопочтенная аудитория itсообщества поддержитв свое время довелось очень внимательно изучить проблемы борьбы туннельнокарпальным синдромом вопервых около лет назад сама ужасом увидела опухающую вечеру руку невозможность буквально пошевелить пальцами кроме того полтора года назад издательстве питер вышла книга компьютер здоровье насколько известно единственная своем роде рынке книге уделила важное внимание болезни компьютерщиков однако вынуждена вернуться проблеме понимаю коврик гелевой подушечкой купленный тогда года назад приостановил развитие проблемы равно правильно подобранный стул стол также правильная расстановка клавиатуры рабочем столе однако замечаю ситуация усугубляется рука болит прочая особенно это заметно пятницу вечером тяжелой рабочей недели длинных выходных руке становится лучше зато тяжелой сумки штанги спортзале наоборот боли усиливаются все знаем самым лучшим методом являются упражнения однако хотя считаю организованным человеком забываю делать вписываются мое расписание тд медицина нам поможет крайней мере чтобы вдаваться длинные повествования время моего минутного визита хирургу минуты рассказывала ему принтер сканер купить оставшиеся полминуты подписывал талончик говорил нужно идти нему вопросы возникли моего замечания что вот дескать рука болит компьютерной мышкипоэтому решила поделиться своими пока работающими методами спасения напасти и соответственно решила просить хабралюдей делает спасения своих рукитак испытанное мною солевые ванночкипрактически ежедневно делаю вечером ванночки горячей водой бросаю косметической соли ванн пачке написано соль рук однако думаю это суть важно сложно сказать эффекте кажется работает мазь апизартронстарое спортивное средство которое применялось мной юности лечения спортивных травм кажется работает гель живокостом я верно написалая эффекта вижу хотя гдето слышала будет нужно очень долго мазать спиртовая настойка растения названием золотой ус домашнего приготовленияпомоему именно спасала мои руки первые годика полтора начала проблем бишофитэто раствор солей украине продается грн меньше доллара банку это чудо природы посоветовали судя описанию оно помогает проблемах суставами нужна система системно испытывалав планах попробовать мазь сабельника парафинотерапиюпроблемы которые пока удается решить тяжелые сумки хотя научилась носить левой руке штанга залеа какие методы испытали вы кроме упражненийвсе рискну дать ссылку свой блог точнее раздел котором цитировала ту самую вышеупоминаемую книгу,104.0,2009,4,26,19,20
2,беседа космонавтом здоровье невесомости космических мутантах,119,0,Здоровье.ру,первая часть беседы космонавтом павлом виноградовым здоровье земле орбите контроле веса спорте медицинских опытах невесомости перегрузках запахах станции комических мутантах усахфото позаимствовал блоге aviatorruрезультат нашей неожиданной встречи космонавтом павлом виноградовым интервью подготовлено вопросам пользователей живого журнала издания geektim соцсети вконтактев ноябре года пригласили рассказать марсоходах луноходах фестивале робосиб иркутске неплохой репортаж мероприятии леонида каганова счастливой случайности числе приглашенных гостей оказался павел владимирович виноградов предложил провести интервью вопросами интернета радостью согласился донимал весь перелет иркутскмосква результате накопилось материала ушло времени обработку вопросы ответы решил разделить несколько частей условно это будет медицина психология техника роскосмос тесно переплетены чрезвычайно интересны таких подробностей зачастую найти нигдеобщение космонавтами конструкторами космической техники напоминает мне космос это намного труднее сложнее нам представляется рисуют книги кино такие беседы способ минуту одним глазком заглянуть сложный неведомый мир человек совершает лишь первые шаги достигнутые неимоверными усилиями пределе возможностейна счету павла владимировича экспедиции космос одна мир м г две мкс м открытом космосе космонавт проработал часов выходов числе участвовал ликвидации последствий столкновения корабля прогресс станцией мир мдо вхождения отряд космонавтов нпо энергия павел занимался автоматизированными системами взаимодействием экипажей ними участвовал числе проекте бураннакопленные опыт знания года работы павла виноградова космической отрасли бесценны молодого поколения энтузиастов космоса всех решает связать жизнь покорением вселеннойсегодня первая частьмедицинапро здоровье контроль весаодин самых популярных вопросов здоровье единственный космонавт который встретил свое шестидесятилетие космосе готовы лететь умудряетесь сохранять физическую форму кровяное давление спрашиваютсто двадцать восемьдесят никак умудряюсь спасибо папе мамойто какихнибудь секретных диет витаминных комплексовникогда занимался диетами витаминными комплексами единственное что наверно очень сильно помогло подработка испытателем институте медикобиологических проблем это просто фантастический неоценимый опыт выработки привычки чувствовать себя чувствовать свой организм знать свои пределы знать свои возможности ходили запредельных нормальных людей режимах физическая подготовка зарядка утром пядьтесят нагнуться восемьдесят присесть фанатом спорта нравится бегать лошадь двадцать километров бегаю удовольствия километра легком темпе это скорее эмоциональная разрядка физкультураза весом приходится следить вот крайнего полета пришлось немного сброситьто набрали массуя полетом немного вышел границу комфортного самочувствия привычный вес кг моего роста комплекции нормальный полета полета набрал это ощущалось неким дискомфортом поставил цель никаких особых диет никаких исключений ем спокойно подряд ползает движется просто немного уменьшил рацион питания вернулся физнагрузкам нормальным средние легкие вернулся нормальным кгнекоторые космонавты отмечают разницу вкусах земле орбите такое нравилось дома станциипримерно половина тех летает отмечают вкусы меняются вкусы предпочтения повезло человек всеядный нравилось земле полете хотя чтото вызывающее особенное удовольствие творог орехами наверно самая любимая еда космонавтов экипажей рыбные продукты стали хорошие делать вообще диапазон продуктов питания станции гигантский пятьсот наименований выбрать станция международная каждая страна старается привнести чтото свое наши рационы отличаются российское меню периодически меняется основном это какието фундаментальные блюда мясом очень калорийные тысячи калорий американцев очень хороших вещей различные каши общем замечательные рационы гречка перловка картофельное пюре луком конце это приедается надоедает хочется чегото простого земного картошки вареной селедкой маслицем гдето месяц полета начинаешь вспоминатьпро витамины умпринимается какойто комплекс препаратов повышения концентрации умственного тонусаесть целый комплекс препаратов связанных основном витаминнами поддержанием нормального кальциевого обмена сердечной работы аля панангин говорю это конкретно панангин это такого класса всякие витамины b d что несмотря радиационный уровень витамин d просто вырабатывается просто неоткуда вырабатываться принимаются профилактические меры целый комплекс врачи медицинские службы время напоминают ребята сегодня начинаем цикл пятьсемь дней ума помоему принималипро невесомость перегрузкирасскажите невесомость ощущение космоса понимаешь космосеэтого мгновения пропустишь сначала секунд выведения толкатели третьей ступени пиросредства срабатывают так ощущаешь увесистый пинокудар спине просто пропустишьневесомость появляется резко бабах двигатели выключились третья ступень отстыковалась всё полетеликак объяснить такое невесомость говорить параболических полетах тренировочных самолетах самое близкое сходство прыжок парашютом первые несколько секунд раскрытия парашюта немного другое поток воздуха ветер нагрузкаа подводное плаваниетам меньшей степени гравитация равно чувствуется воде имитируется возможность переворачиваться угодно орлане скафандре перевернули вниз головой гидробассейне внешне кажется невесомость скафандр полностью обезвешен всплывает тонет понимаешь вверх ногами состояние другое называется гидроневесомость отрабатываются навыки ориентации пространстве можешь крутиться угодно самый реалистичный эффект это полеты параболекак организм отреагировал невесомость долго проходила адаптацияу разному сильно повезло первого старта говорили коем случае смотри иллюминатор корабля это быстро долетаем раньше уходили закрутку корабля батареями ориентировались солнышко режим назывался закрутки солнце летали так батареи развернуты солнечную сторону вращение довольно интенсивное градусов секунду сила кориолиса дает знать это длилось несколько часов раза перелет летаем закрутки проще легче восприятие невесомости чисто индивидуально хотя загружают тренировками одинаково кресло кориолиса раньше качели хилла общем устройств которые вывернут наизнанку новички поначалу выдерживал двух минут вращения кресле кориолиса минимум проходной балл новичков минут полетом крутимся минут врачи говорят пока тебе надоест фактически пока кресло перестенет оказывать какоелибо воздействие вообще комуто помогает комуто нет поскольку полете другие вестибулярные расстройствате полете проблемы закруткой солнце собственно невесомостьюнет вестибулярные расстройства изза закрутки особенные проблемы возникают переходишь малого объема корабля большой объем станции бывает плохо поскольку никакого ощущения верха низа пол потолок условно разделен цвету это очень помогаетсколько заняла адаптация поняли станции уверенно чувствуетенаверно всетаки несколько дней поскольку помимо вестибулярных ощущений идет перераспределение тн гемодинамики перераспределение крови организме видна отечность лица отечность шеи кровь приливает голове наша верхняя часть тела земле подвержена таким воздействиям это вызывает некоторый дискомфорт заложенность носа отек лица проходит день средства профилактики которые носим первую неделю медицина рекомендует костюмы специальные которые дают возможности расслабляться мышцам нагрузочный костюм пингвин похож обычный летный комбинезон нем очень резинок заставляют работать мышцы спины бедра голени рук плечевой пояс тело охватывают костюм рекомендуют носить вначале полета ктото предпочитает носить весь полет это рекомендуют носил первом полете очень мало тк очень жарко другие полеты долгоесть зависимость чувства невесомости желание повторить сноваесли ктото легко переносит есть безусловно это поднялся гору тянет горы сто раз выпрыгнул парашютом хочется прыгать прыгать нырнул воду хочется нырять нырять смеется конечно тянет вспоминается месяц дней пятьсемь восемь немножко пройдут всякие боли спине думаешь я полетелрассказывают такую привычку космонавт кружку воздух поставитьда было первый вернулся полета попросил жены стаканчик воды выпил отпустил стакан всяких задних мыслей полете точно же земные привычки чтонибудь написал ручкой положил ручку стол оглянулся нет это везде всюдуа перегрузки переносилиперегрузки довольно спокойно переносятся это тренируемая вещь летаем самолетах крутимся центрифуге графику выведенияспускатело готовоесть перегрузки штатные это единиц режимы штатные стараемся избегать неуправляемом баллистическом спуске перегрузки повыше единицесть разница ощущениях перегрузки выведении спускеконечно режимы разные ракета работает достаточно плавно скорость набирает плавно этапе работы первой ступени перегрузка единиц секунде постепенно растет отделении ступени падает практически нуля спуске перегрузки вышепро зачатие роды невесомостирасскажите какихнибудь экспериментах мире мксбыли тритоны мире официально кличек было одну самку звали анюта лапках прикреплены цветные бусинки цвету различали сожалению умерла сердечной недостаточности штук привезли орбиту живых здоровых повезло земле очень удачно сели толей соловьевым сели жуткую пургу февраля нами прилетел единственный вертолет командующего воздушной армией вместе генералом забрал остальных оставил парашютистов команду технического обслуживания мороз градусов минус пока добрались спасательные машины общем тритоны просто замерзли спускаемом аппарате сожалениюно экспериментов очень много работал французской программе очень много интереснейшие биологические эксперименты эксперимент ферти переводе это рождение зачатие те рождается выращивали тритонов стадии доставляли станцию икру появлялись мальки мальков головастики головастиков тритончики ставилась задача посмотреть развитие икринок пришли очень плачевным результатам очень дефектного деления обычно живое делится кратно одна яйцеклатка делится пополам четыре восемь шестнадцать пошлопошлопошло вылавливали большой процент тн патологического деления примеру делилось два четыре три четырех пять такие вещи такие дикие возгласы мол давайте отправим супружескую какую пару куданибудь космос это дело сделаем это точки зрения человеческой это бредятина это сложнейший процесс рождения человека развития зачатия общем рисковалпро секса процессто зачатия невесомости возможен вообще функциейабсолютно реально думаю человечество заниматься этим вообще любых местах кажется проще стене потолке можно хочешь желание желание естьнет какихнибудь проблем сфере возвращении землюну знаю помоему нет всяком случае никто говорил проблемах вот прилетел плохо отмечают наоборот этим делом хорошоте жены рады возвращениюдапро сонпро сон несколько вопросов вопервых отличаются сны которые видишь земле космосе полумистический вопрос такого члены экипажа несколько членов экипажа одновременно увидели сонне знаю вопервых кем рядом спал спросить снится смеется вовторых сны знаю счастью сожалению снятся земле вообще снятся помню точно космосе снилисьпро сон оформлен достаточно известно спальный мешок тамну спится спится вообще очень плохо отвратительно нашем сегменте достаточно шумно децибел это шум меньше внутри самолета поэтому сон могу сказать хуже земле недоставало подушки голова болтается спальном мешке унтята меховые сапоги приделал вместо подушек вывернешь наизнанку которые меховые пока поношенные чистые вывернешь их вставишь вроде подушкапо поводу вспышек глазах такое космические частицы зрачки попадаютестьэто ночью днем случатьсяесли очень мощное излучение это видно днем нормальном свете такая вспышка бывает ночью ночью просыпаешься этого есть видимо сон очень глубокий вспышка очень легко потерять ориентацию спишь просто просыпаешься естественно спальном мешке естественно свет выключен всетаки иллюзия сплю горизонтально вертикальная каюта горизонтально лежит перевернуто такого ощущения сплю стенке вертикально нормально физически сплю бывало редкопро тишинутишину космоса сложно услышатья слышал мире вырубало систему управления вообще впадали станция замирала выключались вентиляторы выходили минимум напряжение падало ниже минимальный порог останавливалось нафиг начинал скрипеть корпус одной стороны охлаждается нагревается это то называется гробовая тишина смеется это страшнопро запах космосапро запах станции принять душ невозможно физические нагрузки обязательны пахнет станция тренажерный залне пахнет системы очистки воздуха порядка любом физкультурном зале убирается все запахи кетоны которые могут пахнуть угодно конечно специфический запах станции это запах машины новый самолет зайдешь пахнет угодно изоляцией это нормальный запах нет нетуа запах космоса давно писали пахнет озоном запах сварки такоеда это горелый металл вот наверное самое ближнее сравнение металлургических комбинатах домна запах всегдакогда начинаетсякорабль стыкуется семь тонн принципе гнездо которое держит оно такого диаметра показывает лепесток передний выдвижном шнуре попадает корпус начинает нему двигаться скорости большие сантиметров секунду но вопервых это металл металлу это вакуум начинается то называем холодная сварка трением стыкуется уходит зацепление крюки закрываются дальше начинаем надувать полость туда попадает воздух естественно начинает пахнуть этим жженым металлом говорят понюхай пахнет космос действительно такойто это реальное происхождение такого запахаэто объясняю ничем другима выход открытый космос скафандре шлюз запахнет внутри кислород запах обратное шлюзование идет обратно пришел есть такой немного озоном попахивает наддули наш шлюзовой отсек американский снимаешь скафандр запах свежести озона чтото такое естьпро космических мутантовпо поводу биологической опасности грибки мире рассказывалиони мкс такая доктор наук новикова наталья какието страшные ужасы рассказывает да мутирующие грибки основном завезены земли обрабатывались выживают немножко другие самое главное никаких патогенных грибов обнаруживали грибы которые существуют достаточно большая разновидность регулярно берем пробы поверхности вентиляции себя это упаковывается отправляется землю изучается вот никаких патогенных вещей обнаружено разуа таких которые вредны станции например разрушали пластик какие покрытияесть такие научились ними бороться плане придумали пластик который едят смеетсяя алюминий слышал легендыда есть это грибковые хотя грибковые поражения первоначально это механические повреждения начинает чтото расти химические какието повреждения урину пролили консервированную кислота случаи слышал это чтото необъяснимое вообще концеконцов доходили патогена это самое главноепро усыне мешают усы космосе приходится бриться чаще обычночаще нет усы мешают стрижемся месяца специальные машинки есть подсоединенные пылесосу разлеталось сразу это все естественно отсасывается собирается всепродолжение следуетзамечательные фотографии космоса авторстве павла виноградова коллег посмотреть здесьчеловек космоскосмическая одиссея павла виноградоваи большущее спасибо илье гусеву помощь подготовке текста,119.0,2015,1,16,5,46
3,практический опыт наконецто начать заниматься своим здоровьем,164,22,Здоровье.ру,давний подписчик блога gtd уст учись работатьс года активно читал статьи хабре интернете пробовал вставать утра делать зарядку обливаться холодной водой бегать утрам питаться правильно особенно зачитывался вегетарианством вести свои делало системе gtd thing установлен гаджетах выключать компьютер вовремя хотя конечно сделать отжиманий кубики животеммм наверное догадались сколько дней заканчивались порывы моей души возвращались круги своя думаю ошибусь скажу таких очень очень многочто изменилось январе годарано начале кратко обо мне возраст лет семейное положение женат с февраля детей пока нет живем отдельно санктпетербурге работаю офисе дней неделю задерживаюсь часто если считаете опыт подойдет ваше право понимаем оправдания придумать придумывал лет знаю говорюу каждого большой понедельник годувсе планируем изменить нашу жизнь следующего понедельника приняли это решение вторник круче понедельника с числа следующего месяца обычно придерживаем такие формулировки реальных изменений своей жизнино год понастоящему изменить январяпримечание обычно говорим января имеем ввиду го го определенным причинамс такими мыслями сел рабочий стол январявстретив свой й новый год праздников многие стал задумываться изменить своей жизни глаза попалась книга глеба архангельского таймдрайв успевать жить работать я думаю полках многих пыляться книги как стать богатым успешным как успевать тд интересом читаем приговаривая да да точно обязательно попробовать реализовав прочитанные советы своей голове нам скучно делать это реальностиважное дополнение будет думаю честно уточнить первопричиной то встал весы января увидел цифру кг рост вес жизнь около кг дополнительная мотивация отражении зеркале это стало главным толчком тому пора чтото менятьитак времени и открыв главу цели приблизить мечту реальности решил выполнить задание построению своих жизненных целей ключевых областяхпримечание начале снова пролистал первые задания вроде представь день своей жизни напиши эпитафию твоя миссия цели года пропустил это получалоськарта долгосрочных целей горизонтали две оси годы начиная текущего ваш возраст вертикали ваши ключевые области семья карьера хобби тп пересечении лет ключевых областей примерные целевые ориентирысделать обзор жизненных целей такто простовопервых понятно хочешьвовторых страшно привязывать цели срокам приходится честно смотреть жизнь сталкиваться неприятными истинами например хождение спортзал последние лет приблизило какойто цели просто топтался одном месте своей физической форме хочу добиться какихто результатов нужно резко увеличить нагрузки частоту занятийвтретьих тяжело начать нести ответственность жизнь одно дело мечтать квартире машине спортивных достижениях изучениях новых языков путешествиях другое дело отложить развлечения и засучив рукава заняться деломмоя карта долгосрочных целейпримечание весь кайф написания документа том пока отвечаешь мечтаешь пишешь свои истинные желания шаг шагомтут никаких ограничений ваших фантазияхпримечание тк фантазия хабры весь огромная оговорюсь глобальные ограничения всетаки есть году стоит планировать полететь марс речь идет прежде отсутствии ограничений которые держат зоне комфорта карьера пишешь кем хотел стать будущем никаких ограничений моем варианте пишу хочу стать начальником управления заместителем гендиректора экономике финансам скрыто тк хочу расстраивать начальство близкими сроками моего карьерного роста семья пишу планирую х детей графику вами понимаем реальность другой это важно мечтаю строю курс карте жизниспорт хотел остановиться подробнее именно это строка значительно изменила мою жизнь поставила новые целида женился феврале года практически доделал ремонт квартире пишу кабинета балконе мечту котором подарил boomburum своей статье несколько лет назад сменил работу году это многом стечения обстоятельств строка спорт здоровье ваших личных рукахмоя цель стать железным человекомрождение целиосенью года тренировке клубе услышал разговор как кстати поживает твоя диссертация тему выбираю тебе думать прошел ironman возьми подготовь обычного человека соревнованию напиши системе подготовке диссертациюспрашивать тренера это такое стал слово запало душу вспомнилось оно сел заполнение графы спорт карте долгосрочных целейи набрал ironman googl открыл youtub это сильно изменило мою жизньтриатлон ironman железный человек плавание км велогонка км марафонский бег кмкруто подумал я нарисовал круг ironman строке спортивных целей возрасте летхм сейчас подумал я могу пробежать максимум километров плавая брассом велосипеде проезжаю максимум км раз лет собрался пройти такую дистанцию лет должен спокойно проходить halfironman плавание км велогонка км бег км пробежать марафон кми нарисовав цели осознал придется начать тренироваться как достигнутьзадача подготовиться лет соревнованию ironmanдано молодой человек нерегулярно ходящий фитнес работающий сидящей работе часов неделю зависающий вечерами своими проектами интернете бегать умеет км задыхается переходит шаг плавать умеет брасом пару километров кролем тонет пару метров катается горном велосипеде время времени свое удовольствие проезжая км дачи вечером обратноможно решить задачу самостоятельно наверное отдавал отчет лет хождения фитнес самостоятельно смог резко изменить пропорции своего тела накачаться сделать сеточку тд питаю иллюзия тех людей берет руки наперекор всему читает книги разрабатывает методику приходит победемне нужен тренер задача получила свое решениеварианты персональные тренировкинаверное наилучший вариант явно самый бюджетный нашем фитнесе world class тренировка стоит около рублей минимум разумно заниматься тренером раза неделю х х рублей месяц вариантплюс большинство тренеров фитнесе это люди которые могут сделать силовой тренинг йогу strech функциональную тренировку плавание увязать это систему циклических видов спорта секции любителей спортая таких знаю речь обычно идет либо секциях детей подростков либо профессионалов юношеского возраста средний старший возраст обычно интересен удаленный тренерстал читать отчеты сайтах посвященных триатлону рекомендую заинтересуетесь трилайфру раздел отчеты реально мотивирующие истории обычных людей живущих россиитам узнал америке огромное количество любителей спорта созданы сервисы ведет удаленнокак это происходитизначально заполняешь анкету обычные данные проходишь небольшой тест пульсометром заполняешь результаты пишешь занимался спортом результаты соревнований какие возможности фитнес бассейном стадион рядом велосипед велостанок пульсометр также пишешь свои цели хачу айронмэн потом взаимодействие происходит следующей схеме пишешь тренеру воскресенье можешь заниматься следующей неделе например понедельник день тяжелый готов поплавать легкое офп вторник свободен среда свободен четверг иду театр вечером готов заниматься минут утром пятница свободен суббота выходной хочу вообще заниматься воскресенье свободен хотел побегать парке утром воскресеньем вечером получаешь план тренировок что каком объеме делать непонятно выясняешь телефону электронной почте понятно делаешь каждой тренировки вечером выгружаешь данные своего пульсометра сайт garmin connect polarpersonaltrain trainingpeakscom пишешь комментарии самочувствию ощущениям нагрузки это изучит тренер основании твоих результатов самочувствия напишет план тебя плюсы небольшая стоимость месяц персональный план твои возможности как физические временные дополнительная мотивация персональному тренеру можешь позвонить сказать макс плохо чувствую давай перенесем тренировку следующую неделю запара работе написать вечером воскресенье юлиан общем запланированных тренировок сделал остальные я както устал настроения было стыдно общем писать такое готовые платные планы персональным тренировкамна многих сайтах купить готовый план подготовке соревнованиям тч триатлону например trainingpeakscom у профессиональным план известных тренеров грамотный вызывало вопросы заболею недели какому дню плана возвращаться общем равно менять боюсь навредить или например переоценить свои возможности перетренироваться вообще забросить этотак стал заниматься удаленно тренеромкак занятия спортом изменили мою жизнь ощутимые цели жизнидаже работе одна рутина знаю вечерняя тренировка сделает сильнее выступлю ближайших соревнованияхтак знаю следующем году апреля девушкой прим девушки напиши жена поймут девушке речь летим париж первый марафон кма переплытие босфора многодневная командная велогонка трансальп марафон пустыни сахаре открывается целый мир котором раньше задумывался самочувствие график днявечером прихожу усталый работы заставляю переодеться выбегаю улицу зимой сразу работы заезжаю фитнес прихожу любимая готовит ужин либо огромную миску салата сыром либо добавляет индейку макаронами ужина какоето время общаемся спать обычно выхожу кухни направо спальня налево рабочий стол выключенным компьютером включить компьютер проверить почту нет спатьв результате прекрасно высыпаюсь великолепно чувствую утренние тренировки легко заставить встать утра понимаешь это делаешьпотихоньку начинаются обтирания холодной водой утрамс каждым месяцем появляется друзей которые занимаются спортом позитивные которые делятся своими советами опытом это класснолюбимая пока сомневается принимая активного участия моих соревнованиях болельщикно смотря это пробежала соревновании км риге понравилось значит рыбкато клюнуларезюмезабудьте сложных методиках мучайте себя расстраивайтесь получается спать часа сутки питаться одними ягодами корешками отжимаетесь разпроснитесь января выспавшимся очень главное хорошем настроениисядьте спокойно бумаге начертите таблицу долгосрочных целей совершенно мучая пофантазируйте хотите складывалась ваша жизньмое пожелание напишите классную мотивирующую цель такую зажгло хотелось превзойти себя почему цель части написания кода создания бизнеса вопервых этим занимаетесь ежедневно работе вовторых многое зависит партнеры инвесторы подчиненные коллеги мировая конъюнктура рынкаа любительском спорте зависит личнорекомендуемые источники для почитать подробнее youtubecom поиск ironman thiatlon maraphon de sabl triliferu отчеты cycleonru пример удаленного тренинга trainingpeakscom самый функциональный сервис триатлетов онлайн дневник готовые планыс новым годомpsесли интерес данной теме могу рассказать том начинал заниматься рассказать тех соревнованиях которых участвовал также написать самые интересные соревнования мире которые понастоящему задают вопрос а смогу я,186.0,2012,12,31,16,0
